Location,BHK,SquareFit,Balcony,Bathroom,Price
Tenkasi,3,2852,0,3,84.68
Dindigul,2,4343,3,1,168.34
Tiruvallur,3,2786,1,1,110.48
Sivaganga,5,725,3,4,39.62
Tenkasi,1,2879,0,1,178.41
Erode,2,3776,2,2,170.93
Thanjavur,2,2740,3,2,102.8
Theni,2,3811,3,2,79.25
Chennai,2,2330,3,2,87.5
Mayiladuthurai,2,1962,3,2,45.23
Tirupathur,5,4415,2,1,282.65
Cuddalore,5,1115,3,5,66.11
Namakkal,5,4606,1,6,314.28
Kanchipuram,3,3885,2,4,174.51
Tiruppur,3,3052,2,4,151.8
Kanchipuram,1,4923,2,1,235.02
Tiruvannamalai,1,1824,0,2,97.58
Mayiladuthurai,2,751,3,1,40.43
Tiruchirappalli,3,2670,3,4,69.32
Madurai,4,3820,1,1,175.54
Tenkasi,2,639,0,1,39.06
Perambalur,2,2419,0,1,161.72
Kanyakumari,2,768,2,3,17.32
Tiruvannamalai,1,2134,1,1,52.91
Vellore,5,2537,3,4,107.03
Sivaganga,2,4529,2,2,172.54
Viluppuram,1,552,0,2,25
Dharmapuri,4,2445,0,1,127.67
Tirupathur,5,1649,3,3,73.43
Madurai,5,4529,3,4,201.65
Sivaganga,5,3584,0,1,242.11
Ariyalur,3,453,2,1,25.74
Tiruvarur,4,2094,1,3,76.12
Erode,3,4013,0,3,206.44
Mayiladuthurai,1,4148,3,2,91.62
Salem,5,1946,2,6,93.96
Tenkasi,4,2048,0,2,58.5
Cuddalore,5,1075,0,2,44.32
Kanyakumari,2,1053,0,1,47.79
Mayiladuthurai,5,952,2,4,64.52
Tiruppur,4,2940,2,3,60.11
Dindigul,1,843,0,1,37.64
Dharmapuri,3,2726,0,3,83.23
Kanyakumari,4,2390,2,2,112.43
Kanchipuram,4,3110,0,5,181.8
Ariyalur,5,696,2,3,27.25
Nagapattinam,2,3920,1,2,82.22
Krishnagiri,4,1035,2,1,46.39
Dharmapuri,5,2175,2,4,148.39
Tiruppur,5,4494,1,5,169.66
Erode,5,1573,0,2,82.89
Erode,2,1666,1,3,46.45
Sivaganga,2,3990,2,1,120.53
Coimbatore,1,856,0,2,52.81
Sivaganga,5,4039,0,2,167.04
Erode,2,4389,0,1,141.29
Kanchipuram,1,784,0,1,15.71
Tirupathur,2,3050,3,3,63.62
Tirunelveli,4,1589,2,1,71.64
Nilgiris,3,1073,3,3,35.89
Kallakurichi,1,1163,2,1,53.01
Theni,1,2755,3,2,70.08
Kallakurichi,2,904,3,3,56.88
Ramanathapuram,5,2669,2,6,72.79
Karur,2,3851,2,2,159.77
Pudukkottai,2,3009,0,3,113.42
Kanchipuram,1,4940,0,1,121.53
Thoothukudi,1,4705,1,2,247.35
Chengalpattu,3,4598,2,4,259.56
Kanyakumari,2,4167,2,1,275.09
Virudhunagar,5,434,0,4,9.75
Ranipet,2,1689,1,2,59.08
Sivaganga,5,2274,2,1,89.78
Karur,3,2666,2,2,60.07
Pudukkottai,3,2409,1,3,79.1
Erode,1,2536,2,1,58.67
Perambalur,3,2484,3,4,152.44
Tiruvarur,1,4212,0,2,186.68
Tirupathur,3,4620,2,1,118.77
Kanchipuram,4,1865,3,5,43.52
Kanyakumari,1,1630,3,2,107.29
Dharmapuri,2,1956,0,3,99.53
Kallakurichi,5,4266,0,2,259.4
Thanjavur,3,3223,3,2,119.38
Pudukkottai,2,3478,0,3,220.42
Viluppuram,5,1581,2,2,41.63
Ariyalur,1,812,2,1,36.22
Perambalur,2,2377,2,1,92.16
Tirupathur,4,2161,0,4,78.36
Kanchipuram,3,3266,3,3,184.88
Sivaganga,2,1886,2,1,129.71
Tiruppur,3,447,1,2,18.2
Tiruvarur,5,4970,0,4,150.36
Chennai,4,2156,0,3,121.01
Thoothukudi,3,483,0,3,28.45
Mayiladuthurai,1,969,2,1,29.55
Kallakurichi,2,3520,1,1,220.86
Nagapattinam,3,4424,3,1,139.36
Vellore,1,1356,0,1,93.96
Tirunelveli,5,768,2,6,22.69
Perambalur,5,3577,3,1,176.42
Kanchipuram,5,4219,1,2,254.31
Chennai,1,997,0,1,35.23
Sivaganga,4,2541,1,5,57.85
Viluppuram,5,4988,0,3,349.09
Coimbatore,5,3187,1,5,166.27
Ariyalur,2,2451,1,1,158.25
Mayiladuthurai,3,2656,3,3,152.81
Tirupathur,4,3643,1,4,152.4
Salem,3,2458,1,2,84.43
Krishnagiri,2,4959,0,3,137.7
Tenkasi,2,3116,0,3,155.4
Vellore,4,2655,3,4,144.39
Erode,4,1266,3,3,26.95
Tiruchirappalli,2,3948,0,3,154.66
Vellore,1,2878,1,2,177.88
Karur,2,2959,1,3,200.54
Ramanathapuram,1,3510,0,1,70.34
Coimbatore,5,2904,0,1,90.72
Sivaganga,5,4055,2,3,281.5
Madurai,3,1797,0,1,120.16
Viluppuram,2,2201,3,3,76.42
Sivaganga,5,3987,2,3,240.61
Kanchipuram,2,4325,0,2,205.69
Namakkal,4,3634,2,4,123.38
Nilgiris,2,4885,0,3,333.72
Tiruchirappalli,5,1758,0,6,83.11
Tiruvarur,5,4767,0,4,314.38
Dharmapuri,4,4052,2,3,204.07
Tiruvarur,2,3384,2,3,75.68
Tiruvarur,2,3525,3,3,231.08
Kallakurichi,4,1552,0,4,98.31
Thanjavur,2,1270,2,2,61.09
Sivaganga,4,2492,2,4,115.05
Mayiladuthurai,5,1904,0,3,40.52
Kanyakumari,1,1538,0,2,100.34
Ariyalur,5,3406,1,1,74.99
Chengalpattu,4,2354,0,2,77.73
Ramanathapuram,3,4632,0,3,193.56
Erode,1,2794,3,1,58.16
Perambalur,3,3686,3,1,191.16
Sivaganga,5,3617,1,6,234.62
Tirunelveli,4,856,3,2,30.65
Cuddalore,5,1621,3,3,110.53
Madurai,1,3104,0,2,149.5
Kanyakumari,5,4538,0,6,231.23
Ramanathapuram,3,4826,0,4,189.17
Tiruvallur,5,1092,2,2,64.84
Chengalpattu,3,3016,1,2,132.38
Namakkal,5,3965,3,6,117.65
Virudhunagar,3,2221,1,4,149.07
Thoothukudi,3,1087,1,1,72.85
Tirupathur,5,4697,1,3,117.94
Kallakurichi,1,4123,0,2,103.03
Theni,5,1392,0,6,39.51
Perambalur,2,716,3,1,25.01
Ramanathapuram,4,4834,2,3,307.48
Virudhunagar,4,3373,1,4,96.69
Chengalpattu,5,3987,2,4,87.88
Kallakurichi,2,3832,3,3,139.95
Mayiladuthurai,1,2868,3,2,133.04
Thanjavur,2,1152,1,2,31.6
Tiruvannamalai,4,1870,2,2,118
Kanyakumari,2,3944,1,1,205.4
Madurai,5,3269,1,1,208.42
Sivaganga,2,1323,3,2,87.67
Viluppuram,5,4071,0,3,218.23
Mayiladuthurai,1,1055,1,1,29.3
Tiruppur,3,4971,2,4,152.22
Erode,5,1024,0,4,26.36
Karur,1,4019,1,1,203.01
Kanyakumari,1,1452,1,1,95.6
Karur,4,558,0,3,25.1
Tiruvannamalai,2,2928,1,1,107.84
Tiruvallur,5,1318,0,4,92.02
Namakkal,1,730,2,1,46.63
Cuddalore,5,1130,3,3,76.31
Sivaganga,5,424,0,3,12.65
Erode,5,1424,0,2,29.32
Salem,1,2532,2,1,110.05
Ariyalur,3,4663,1,2,149.8
Tiruchirappalli,5,3355,1,2,157.38
Chennai,2,1585,2,3,59.04
Madurai,1,1401,0,1,40.42
Cuddalore,2,2855,3,1,160.31
Thoothukudi,3,597,2,4,38.55
Erode,1,2070,3,1,88.03
Tenkasi,2,4535,2,1,183.82
Tiruppur,5,464,1,6,18.79
Erode,3,3648,0,1,228.69
Krishnagiri,5,4938,0,2,149.83
Dindigul,2,1753,3,1,37.99
Tiruppur,5,2005,2,5,56.26
Mayiladuthurai,5,879,2,2,41.15
Kanyakumari,3,2923,1,4,65.71
Ariyalur,2,1088,0,3,40.8
Tirupathur,4,3601,1,5,225.9
Tirunelveli,2,794,0,1,19.59
Tirupathur,2,3625,3,2,153.61
Thanjavur,4,2130,2,4,63.56
Kallakurichi,1,2294,3,2,62.73
Cuddalore,2,3561,0,1,83.88
Virudhunagar,1,2227,0,2,148.17
Coimbatore,3,2665,0,1,136.59
Karur,4,4490,3,4,296.25
Chennai,3,1838,2,4,103.06
Nagapattinam,1,2528,1,2,108.35
Kallakurichi,2,1963,1,1,109.14
Nilgiris,4,777,3,4,18.32
Virudhunagar,3,3232,1,2,152.14
Namakkal,5,1135,1,6,39.76
Ramanathapuram,5,2901,2,2,59.26
Kallakurichi,3,830,2,4,27.16
Nilgiris,5,3128,3,2,80.01
Vellore,4,4992,1,4,284.21
Theni,4,3268,1,1,177.69
Perambalur,5,2692,1,2,154
Namakkal,2,512,2,3,11.41
Cuddalore,2,1904,1,3,74.99
Tiruvallur,3,436,1,4,16.88
Theni,3,1925,3,3,43.5
Pudukkottai,4,1562,1,5,85.81
Madurai,4,1538,0,3,61.78
Coimbatore,4,413,0,3,24.65
Madurai,1,629,0,1,25.22
Sivaganga,1,590,2,2,30.35
Nilgiris,2,4116,3,2,165.32
Theni,2,1236,3,2,49.55
Sivaganga,4,4836,0,2,323.59
Mayiladuthurai,1,1353,3,1,57.3
Kanchipuram,3,4382,0,4,256.23
Virudhunagar,5,2902,1,6,164.73
Tiruvallur,5,1634,1,2,104.97
Perambalur,3,3826,2,4,104.46
Vellore,2,2502,2,3,160.05
Krishnagiri,1,2931,0,2,137.5
Krishnagiri,3,1959,1,3,123.17
Ranipet,3,1802,1,4,40.81
Nagapattinam,1,4212,0,1,214.29
Tiruvallur,1,4964,2,2,205.28
Nilgiris,5,3031,3,1,198.85
Madurai,1,4450,0,1,274.74
Namakkal,4,1628,3,1,34.14
Virudhunagar,1,1181,1,2,73.36
Tirunelveli,3,2521,2,1,110.03
Coimbatore,3,4484,0,4,137.87
Ariyalur,5,4874,1,5,189.26
Nilgiris,3,2183,1,4,145.77
Tiruvannamalai,4,1723,1,4,70.09
Pudukkottai,4,4957,2,5,166.67
Theni,4,1957,3,3,116.2
Thanjavur,2,2680,1,2,101.22
Tiruvallur,1,1155,0,2,63.68
Ariyalur,1,795,0,1,42.53
Tiruchirappalli,4,2526,1,3,133.3
Mayiladuthurai,2,4521,0,3,129.99
Sivaganga,5,2102,1,1,82.5
Tiruchirappalli,3,2871,1,2,146.43
Madurai,2,784,2,1,38.12
Madurai,2,1228,2,1,60.24
Tiruvallur,2,2889,0,3,104.83
Coimbatore,2,4651,2,3,318.81
Kallakurichi,5,1852,0,3,105.84
Tirupathur,2,2381,2,1,110.04
Nilgiris,5,1639,1,1,80.65
Cuddalore,2,4678,0,1,147.74
Dharmapuri,2,947,0,1,66.02
Tiruvarur,5,1338,0,3,40.21
Madurai,1,907,3,2,32.69
Karur,4,1164,1,5,32.78
Tiruppur,1,2120,3,1,114.71
Namakkal,3,2214,1,4,135.7
Viluppuram,1,3011,3,1,200.03
Sivaganga,2,2712,1,1,184.56
Tenkasi,2,1752,3,3,99.42
Kanchipuram,4,3821,1,2,92.37
Tiruchirappalli,4,3688,0,1,155.58
Cuddalore,1,2038,0,2,41.66
Madurai,4,917,2,4,20.28
Ariyalur,5,3571,3,1,205.55
Kallakurichi,3,3433,2,3,87.68
Tiruchirappalli,1,1552,1,2,85.48
Karur,3,633,2,3,20.07
Perambalur,5,4516,2,3,193.24
Tiruppur,4,1371,2,4,45
Karur,2,2274,3,2,70.29
Cuddalore,1,2652,0,2,103.08
Tirunelveli,1,1182,3,1,65.84
Tiruvarur,3,689,3,2,32.45
Erode,4,2090,2,4,145
Thanjavur,1,3159,1,2,219.64
Cuddalore,4,4626,0,4,217.03
Theni,3,676,2,4,27.59
Dindigul,1,3706,3,1,89.48
Dharmapuri,4,2394,2,5,133.9
Tirupathur,4,1540,3,3,80.5
Thoothukudi,3,3784,3,4,142.53
Vellore,3,4070,1,3,182.62
Thanjavur,2,2744,1,2,183.05
Theni,2,578,2,1,12.79
Dindigul,2,1984,3,3,129.25
Madurai,1,1869,3,1,48.97
Erode,5,3019,0,6,103.99
Chennai,2,3212,0,2,165.12
Krishnagiri,2,501,0,2,10.61
Tiruvallur,4,1234,1,5,83.69
Tiruvarur,3,2654,0,1,92.83
Tirunelveli,2,2304,1,2,85.53
Kanchipuram,5,3687,2,1,120.7
Viluppuram,4,4431,1,3,162.34
Viluppuram,4,4159,2,3,130.76
Nilgiris,3,964,1,3,51.23
Perambalur,3,2075,3,4,89.1
Thoothukudi,1,3655,3,1,197.6
Namakkal,4,2781,0,3,160.38
Chennai,4,1203,0,5,73.14
Kanyakumari,5,2999,2,2,179.4
Virudhunagar,4,746,1,5,31.13
Thoothukudi,1,4764,2,2,321.63
Mayiladuthurai,2,4295,1,2,144.38
Tiruvallur,2,445,2,1,23.19
Vellore,2,3027,1,2,85.6
Tiruchirappalli,3,2117,0,4,81.81
Virudhunagar,3,3563,2,2,79.18
Vellore,3,1641,3,3,41
Ariyalur,3,1223,2,4,35.73
Dharmapuri,3,2590,2,1,100.87
Chengalpattu,4,2095,1,5,88.7
Virudhunagar,3,4144,2,2,150.19
Nilgiris,5,3984,1,3,154.6
Tiruppur,3,3702,3,4,161.87
Kanyakumari,5,1620,1,2,64.76
Chennai,1,4196,2,1,89.48
Ranipet,1,4190,3,2,173.59
Erode,1,4542,3,2,139.85
Viluppuram,4,2468,3,3,128.04
Erode,1,1841,1,1,54.16
Tirupathur,5,3119,0,5,145.53
Kallakurichi,4,2761,2,3,58.55
Kallakurichi,2,3041,2,2,157.48
Kanyakumari,5,4251,0,2,207.45
Chennai,3,597,3,4,29.45
Nagapattinam,4,3332,0,5,158.21
Ranipet,2,4869,0,1,122.15
Vellore,5,4861,3,5,121.91
Krishnagiri,5,1066,2,6,59.01
Tirupathur,3,2878,3,1,110.45
Tiruppur,5,640,2,1,40.66
Ranipet,4,531,1,1,29.87
Theni,3,4550,3,4,231.47
Dharmapuri,2,4039,0,2,140.71
Tiruchirappalli,5,961,1,5,60.97
Coimbatore,1,3593,1,2,225
Tiruppur,2,3580,1,3,135
Dharmapuri,4,3125,3,3,170.58
Tiruppur,3,1008,1,3,63.08
Tiruvarur,3,1711,2,2,36.25
Viluppuram,4,2159,1,3,85.98
Tiruppur,3,4668,3,1,298.73
Kanyakumari,3,4389,3,3,164.27
Coimbatore,4,1955,2,3,66.57
Chengalpattu,1,3065,2,1,71.48
Ramanathapuram,2,1379,1,3,28.6
Dharmapuri,2,3897,3,1,192.52
Theni,2,1187,1,3,25.93
Thanjavur,1,549,0,1,23.2
Vellore,3,3302,3,2,96.48
Thoothukudi,2,3565,2,2,214.35
Dharmapuri,3,1301,3,1,34.65
Ariyalur,3,4018,3,4,159.93
Nagapattinam,3,3474,2,2,87.31
Tiruvallur,2,1082,0,1,61.11
Madurai,2,2352,3,3,74.9
Pudukkottai,1,3253,1,1,214.37
Nilgiris,2,897,1,2,53.98
Coimbatore,4,2356,1,2,49.42
Perambalur,1,4382,3,1,244.98
Coimbatore,2,713,0,3,27.69
Kallakurichi,5,2846,1,4,98.82
Salem,1,1362,1,1,93.86
Pudukkottai,4,484,1,4,22.53
Cuddalore,5,4074,1,6,103.46
Sivaganga,5,791,3,6,39.14
Sivaganga,1,3200,3,2,185.47
Viluppuram,1,3726,1,1,140.1
Vellore,3,3302,3,3,165.38
Thanjavur,1,1805,2,2,105.82
Tirunelveli,4,890,1,4,33.75
Tiruvannamalai,5,3532,0,4,138.89
Tiruvallur,4,4976,1,2,331.4
Salem,4,2094,3,3,68.54
Namakkal,1,1056,1,1,25.05
Tiruvallur,3,2041,3,4,66.73
Ramanathapuram,5,709,1,1,29.2
Salem,4,1854,1,3,97.59
Kallakurichi,1,1890,1,2,112.93
Thoothukudi,2,1728,3,2,61.32
Nagapattinam,2,1801,1,1,98.68
Ranipet,3,2240,2,4,110.18
Pudukkottai,3,2592,0,1,85.3
Nagapattinam,3,2272,0,4,62.02
Tirunelveli,1,3297,1,2,105.8
Tiruvallur,4,408,1,3,22.96
Thanjavur,4,1974,3,2,46.36
Coimbatore,5,2695,0,3,181.21
Virudhunagar,1,4168,1,2,87.95
Tiruvarur,2,2242,1,2,56.1
Tiruvannamalai,5,4084,1,4,283.61
Tiruchirappalli,3,3087,0,4,78.6
Thanjavur,4,3633,1,5,202.71
Coimbatore,2,1216,3,3,52.31
Namakkal,1,414,1,2,25.62
Tirupathur,2,2258,0,3,46.79
Namakkal,1,1718,3,1,104.5
Theni,2,4425,0,2,133.62
Kallakurichi,4,822,1,4,55.84
Sivaganga,4,1583,3,5,58.94
Kanchipuram,2,1051,0,2,39.43
Pudukkottai,2,3147,1,2,94.53
Chengalpattu,2,4459,2,3,290.62
Madurai,1,3204,3,2,86.09
Tenkasi,3,2759,1,4,89.15
Tirunelveli,3,2248,2,1,115.02
Thoothukudi,2,3452,2,3,104.89
Erode,1,480,3,1,28.12
Krishnagiri,1,4644,1,1,133.21
Karur,4,4084,2,2,148.1
Ranipet,4,1021,3,1,49.87
Tiruvannamalai,4,2307,0,3,55.09
Nagapattinam,3,547,3,4,16.03
Perambalur,1,1010,0,1,64.82
Tiruvallur,4,1807,3,1,57.7
Erode,1,2175,1,1,132.2
Nilgiris,4,2792,0,1,177.98
Thoothukudi,2,1951,1,1,130.24
Theni,1,4431,3,1,280.91
Tiruvallur,1,1974,1,2,50.09
Tirupathur,1,3286,3,2,228.33
Mayiladuthurai,4,2062,0,5,70.91
Dharmapuri,2,4469,0,1,257.28
Namakkal,3,1362,3,4,66.61
Madurai,3,1000,1,3,28.68
Ranipet,3,4148,0,4,198.67
Kanyakumari,1,552,2,2,15.41
Tiruvannamalai,2,2531,0,1,119.54
Dharmapuri,1,1395,0,2,35.57
Madurai,2,2380,0,3,110.22
Ranipet,5,2915,2,6,118.06
Kanchipuram,2,1931,3,3,129.41
Coimbatore,3,4498,3,4,96.95
Erode,5,4319,1,5,262.52
Salem,5,764,1,3,35.3
Chennai,3,2005,0,2,85.65
Nagapattinam,4,1907,0,5,98.16
Coimbatore,3,3524,1,1,162.54
Perambalur,2,5000,3,1,325.14
Karur,2,3846,3,2,90.81
Nagapattinam,2,602,3,1,29.2
Ranipet,4,2817,3,2,162.77
Tenkasi,1,1290,1,1,73.7
Thoothukudi,2,2553,3,2,52.84
Tirunelveli,1,1846,2,2,47.04
Cuddalore,5,3304,3,5,160.97
Tiruppur,3,2994,2,4,137.13
Kanchipuram,1,3056,1,1,158.67
Kallakurichi,5,2945,2,6,69.1
Salem,5,1786,3,2,52.5
Nagapattinam,4,2511,0,5,118.73
Kallakurichi,2,3763,2,3,145.73
Tirupathur,1,2694,0,2,92.21
Ramanathapuram,2,4041,3,1,201.36
Sivaganga,1,4207,2,2,130.34
Theni,5,549,3,5,27.73
Tiruvarur,5,2228,3,2,48.5
Kanyakumari,5,1253,1,2,60.97
Karur,1,2849,1,1,162.84
Namakkal,5,4169,1,6,103.69
Dharmapuri,4,2744,0,4,122.02
Tirupathur,2,3741,1,2,159.08
Tiruchirappalli,3,1926,3,1,94.53
Chengalpattu,1,1640,0,1,63.38
Karur,3,1176,2,3,55.38
Kallakurichi,2,1012,2,2,33.15
Pudukkottai,5,3683,3,4,151.74
Pudukkottai,1,4348,1,1,242.66
Namakkal,5,4693,0,2,119.96
Virudhunagar,3,1146,0,2,34.94
Viluppuram,3,1444,3,2,58.6
Madurai,3,4327,0,2,133.97
Tirunelveli,5,2347,1,2,113.76
Mayiladuthurai,5,2170,1,3,116.98
Tenkasi,2,2793,2,2,114.66
Erode,4,3458,1,5,74.81
Thanjavur,5,3669,1,3,128.96
Chengalpattu,2,3962,2,3,95.1
Karur,3,788,1,3,19.28
Pudukkottai,4,2966,2,1,177.09
Tiruvarur,4,3247,3,1,135.73
Erode,1,2289,1,2,127.49
Perambalur,2,4997,2,2,151.44
Tiruvarur,2,4695,0,3,276.47
Thoothukudi,5,4220,3,6,94.38
Ariyalur,5,1813,0,5,101.42
Virudhunagar,1,2113,1,1,144.43
Madurai,1,4916,3,2,187.48
Krishnagiri,5,1231,2,2,73.79
Viluppuram,5,1765,2,1,94.6
Tenkasi,5,4861,1,3,325.8
Tiruvallur,4,826,0,1,32.38
Krishnagiri,1,1434,1,1,81.05
Pudukkottai,5,3590,0,5,99.16
Thoothukudi,3,3729,3,2,241.92
Perambalur,5,3192,2,5,220.82
Thanjavur,2,4654,3,3,285.38
Tiruvallur,3,3311,1,2,227.88
Sivaganga,3,553,2,3,21.51
Madurai,1,4696,1,2,191.17
Dindigul,3,2735,0,4,88.24
Sivaganga,4,1803,0,2,89.38
Cuddalore,5,2186,1,5,104.78
Tiruvallur,3,1080,1,1,60.07
Sivaganga,5,4395,1,1,241.3
Tiruppur,5,402,1,1,8.54
Tiruvarur,2,3960,3,1,243.11
Pudukkottai,4,4639,2,5,109.5
Viluppuram,2,1095,3,3,48.53
Ranipet,3,1032,0,4,41.99
Tirunelveli,3,1516,0,1,95
Thanjavur,4,3445,3,1,108.34
Ranipet,5,4255,0,6,258.11
Chengalpattu,1,3879,1,2,144.84
Salem,4,3150,0,2,88.84
Tiruppur,3,3609,0,3,214.45
Ranipet,3,614,0,4,29.65
Vellore,2,725,2,2,34.39
Kanchipuram,1,2310,2,1,137.93
Coimbatore,2,2240,1,1,88.19
Cuddalore,1,4464,3,1,176.98
Erode,1,645,1,2,36.44
Nagapattinam,4,3327,2,2,121.81
Karur,1,2644,1,2,179.05
Madurai,5,2908,3,1,69.91
Pudukkottai,3,3962,0,1,147.99
Thoothukudi,4,2103,3,1,125.81
Tiruvarur,3,2714,3,1,133.61
Viluppuram,5,2993,2,1,137.07
Nilgiris,1,3802,2,2,263.44
Salem,2,682,0,2,16.33
Kanchipuram,1,4473,0,1,144.9
Kallakurichi,4,894,1,2,27.18
Madurai,4,1983,1,5,138.75
Viluppuram,3,4892,3,1,190.65
Tenkasi,5,2604,2,2,61.19
Tiruchirappalli,3,475,3,2,20.87
Vellore,3,1222,1,1,42.06
Namakkal,3,908,3,3,48.68
Ariyalur,4,3754,3,1,80.73
Chengalpattu,3,1251,1,2,52.7
Perambalur,2,993,3,1,28.67
Madurai,5,1440,0,2,89.23
Kanchipuram,1,3330,3,1,68.22
Vellore,5,4039,3,5,259.84
Tiruppur,1,2679,1,1,116.49
Nagapattinam,3,3410,0,3,220.77
Karur,5,3983,3,1,152.34
Thoothukudi,5,1376,0,3,88.64
Vellore,1,3198,0,1,67.33
Karur,5,3248,2,4,190.03
Ariyalur,2,2813,1,1,65.8
Chennai,1,2333,3,1,71.11
Ariyalur,3,2873,3,1,190.06
Nilgiris,1,3525,1,2,97.84
Dindigul,4,2636,0,3,57.29
Perambalur,1,865,3,2,22.19
Theni,3,3168,1,3,109.25
Mayiladuthurai,5,1500,1,5,57.42
Sivaganga,4,817,0,1,55.35
Namakkal,1,3035,2,2,117.09
Virudhunagar,3,2740,3,3,183.23
Coimbatore,2,4660,1,3,322.27
Vellore,4,3365,0,3,164.38
Namakkal,5,4687,3,6,278.21
Tenkasi,1,1729,0,1,73.43
Vellore,5,3386,2,6,125.88
Mayiladuthurai,3,4527,3,1,91.57
Dindigul,2,3003,1,2,64.93
Ramanathapuram,4,1211,3,5,34.4
Salem,4,2096,1,2,127.34
Tirunelveli,1,4595,1,1,117.38
Karur,5,3419,1,3,233.03
Cuddalore,4,553,0,2,14.55
Madurai,3,989,1,3,34.33
Tiruvarur,2,4989,2,2,232.33
Ranipet,4,3142,3,2,88.24
Kanyakumari,3,4279,0,4,233.08
Thoothukudi,3,913,3,1,62.37
Chengalpattu,1,490,3,2,32.32
Mayiladuthurai,4,734,2,5,29.48
Chengalpattu,2,4702,2,1,159.68
Thoothukudi,3,4199,1,1,232.67
Ramanathapuram,5,4749,1,3,153.54
Tirunelveli,4,1108,1,5,44.41
Sivaganga,1,2112,1,1,128.03
Karur,5,3006,0,6,72.79
Namakkal,3,2000,1,1,103.88
Ariyalur,4,3367,3,5,102.89
Coimbatore,2,3655,1,3,149.12
Chennai,3,2684,3,2,169.42
Dindigul,3,2289,3,3,150.52
Ramanathapuram,2,4189,2,3,284.81
Kallakurichi,5,2053,1,5,132.22
Tenkasi,4,1370,1,2,35.47
Perambalur,3,483,3,1,19.34
Tirupathur,2,4605,0,1,280.15
Krishnagiri,2,4266,0,1,186.04
Ranipet,4,2835,1,3,118.38
Tiruppur,4,861,3,1,36.31
Kanchipuram,2,2258,3,1,96.7
Virudhunagar,1,745,2,1,34.52
Mayiladuthurai,5,453,0,1,19.68
Erode,3,1982,0,3,126.3
Kanchipuram,2,2002,2,3,66.19
Tenkasi,3,526,1,2,23.46
Tirupathur,2,675,1,1,18.58
Tirunelveli,1,4142,1,2,233.01
Tenkasi,3,4506,1,3,268.22
Kanyakumari,3,1918,1,3,93.71
Tiruppur,5,4157,0,5,252.51
Tirupathur,2,4970,0,3,221.86
Theni,1,1303,0,2,64.46
Kanchipuram,5,4130,0,6,195.9
Mayiladuthurai,1,4277,3,2,222.67
Ramanathapuram,1,3411,2,2,221.12
Chengalpattu,5,3197,2,5,73.56
Tenkasi,5,4525,3,6,244.88
Tiruvallur,2,1379,1,1,69.29
Cuddalore,1,3602,1,2,100.54
Ramanathapuram,5,4612,2,1,180.97
Kallakurichi,1,1664,3,2,96.76
Tiruchirappalli,2,2309,1,3,136.23
Pudukkottai,3,3607,3,2,108.79
Madurai,3,3395,3,1,74.3
Mayiladuthurai,5,4629,0,1,160.57
Erode,1,4404,2,1,278.62
Kanchipuram,4,4171,3,3,261.32
Thanjavur,1,485,1,2,14.18
Thoothukudi,1,3006,1,1,88.29
Nilgiris,2,4537,0,2,158.91
Nilgiris,3,1570,3,1,52.62
Tenkasi,3,1631,3,2,86.4
Kanyakumari,2,488,2,3,19.06
Pudukkottai,5,2238,1,5,96
Kallakurichi,4,2544,0,3,57.99
Tirupathur,4,416,2,4,9.94
Tirupathur,4,4469,3,2,298.77
Nilgiris,5,404,3,5,17.74
Sivaganga,2,2784,3,3,123.06
Namakkal,4,3203,2,3,75.8
Tiruppur,1,779,2,2,38.84
Erode,2,3637,0,2,194.55
Chengalpattu,5,1908,3,2,61.71
Namakkal,3,1639,0,3,103.96
Karur,1,3099,0,1,132.59
Dindigul,5,3144,1,5,117.37
Sivaganga,4,4104,0,3,128.63
Viluppuram,4,4680,1,2,283.09
Erode,5,1262,0,2,85.7
Sivaganga,3,3596,1,4,185.49
Salem,1,660,0,2,18.05
Erode,2,3851,0,2,128.11
Virudhunagar,2,3677,2,2,156.16
Mayiladuthurai,2,1178,3,3,61.55
Madurai,3,3434,1,1,230.53
Nagapattinam,3,1596,1,2,72.79
Dindigul,2,2673,1,3,150.03
Tiruvarur,4,2990,2,2,97.44
Cuddalore,4,497,3,3,15.89
Erode,5,1343,3,2,93.6
Coimbatore,2,4338,1,1,238.86
Tirupathur,4,2648,3,4,108.28
Erode,2,2962,3,3,187.93
Chennai,2,1994,2,1,86.38
Nilgiris,5,927,1,4,46.04
Coimbatore,2,3116,2,3,169.42
Virudhunagar,2,3881,2,1,137.33
Salem,4,2375,3,4,52.8
Ranipet,1,2333,3,2,156.68
Pudukkottai,1,1887,0,2,104.86
Ranipet,4,1439,1,3,68.09
Ranipet,5,3267,2,6,193.15
Nagapattinam,4,3123,2,2,134.62
Nagapattinam,5,2176,3,2,143.83
Nagapattinam,5,2725,0,4,78.1
Madurai,5,1996,2,2,53.86
Theni,2,2525,1,2,101.93
Thanjavur,2,4565,3,2,202.14
Ramanathapuram,2,3562,3,1,125.74
Tiruchirappalli,2,1492,0,1,73.44
Salem,1,1418,0,1,71.94
Nagapattinam,3,1012,2,2,31.63
Nagapattinam,3,1968,1,4,117.28
Krishnagiri,4,3226,0,3,128.36
Tenkasi,3,4829,3,2,183.66
Viluppuram,5,4699,2,5,311.37
Nagapattinam,1,4729,0,2,167.11
